syscheck.event,syscheck.path,syscheck.attrs_after,syscheck.changed_attributes,syscheck.size_before,syscheck.size_after,syscheck.mtime_before,syscheck.mtime_after,syscheck.md5_before,syscheck.md5_after,syscheck.uid_after,syscheck.uname_after,syscheck.arch,agent.name,@timestamp
modified,E:\Data\resource.pdf,"read,write,hidden,system","owner,mode",1608666,2099709,"May 20, 2025 @ 21:37:28","May 20, 2025 @ 22:01:23",5561e1c0a579fab5c129c76ef2995e4062566fb197ee2c934aced8f5491db1ab,a068c40f0c8cdabad580b70297ad0e3d070d49403ebc0b48218b6ca6c750fe19,6854,User4,AMD64,WIN-LAPTOP,"May 15, 2025 @ 06:44:44.990"
deleted,D:\Work\three.bat,"exec,archive,write","mode,size",130407,489904,"May 16, 2025 @ 20:41:05","May 16, 2025 @ 20:43:15",3c7631e0f7496bea8ee63d79d28969a4d81982030bd0914a919040c0b0f32fc1,96e1a43126806263aa4f49243f404651731446a290778adcac5ce9e3ed0c7dda,8765,User2,x86,DESKTOP-XYZ,"May 19, 2025 @ 18:25:07.043"
deleted,C:\Users\Project\Documents\success.jpg,"archive,read",group,218982,487333,"May 11, 2025 @ 19:48:23","May 11, 2025 @ 20:24:27",445d870daa4fd41447c47a82550b17441706755f7699bfd8e70dba2f8007002e,9cdd8b840a7d5609047e6a45f2f2e96b1cb4a6750ec5c82c9ba6b5c000a18113,1104,System,x86,WORKSTATION-01,"May 02, 2025 @ 19:13:50.756"
added,D:\Work\career.dll,"hidden,archive",mtime,1472569,1050226,"May 24, 2025 @ 06:14:30","May 24, 2025 @ 06:40:59",035cfdbd8ccc19822ffe29ef0d53d8100e262ea08bddf45e524c2d5cc7184f60,236e336691c3df827e1cef726a7a44dee65a3e86abb6855c537ef4fa186a1255,1661,User4,x86,LAPTOP-1234,"May 28, 2025 @ 07:58:43.795"
modified,C:\Windows\Temp\field.bat,"system,read,hidden",mode,916006,725192,"May 26, 2025 @ 13:20:09","May 26, 2025 @ 14:14:22",7c42e63ce655761f78d841e46c541cbb10cd79a8b2c8e4fa05537427ad316eee,58c48678ab5e2bfec68d3e4ef15beda80b49877796539677af9d166f99483f64,5993,User1,x86,DESKTOP-XYZ,"May 04, 2025 @ 21:38:31.412"
modified,C:\Users\User2\Desktop\tough.zip,"archive,exec,hidden","size,group",297462,715887,"May 10, 2025 @ 10:14:17","May 10, 2025 @ 10:17:10",6575939643b2e963735f4a92ce793cdee1c401b9b3a3109a441b25f396543041,e6a47d6d265ec42036bec9b0b6585bc15261ba20a340759397c686a250ee63ee,4439,Project,x86,LAPTOP-1234,"May 30, 2025 @ 10:41:19.066"
deleted,C:\Windows\Temp\war.dll,"archive,hidden,system,read",group,1486500,988872,"May 13, 2025 @ 05:44:48","May 13, 2025 @ 05:45:47",a0a9141f79f4cae63fb7ccd4016a8896,7c6eb11e715421f183db9e9b1912d94d4f60e5e78ed4992e586fa8d4cfb24a6f,1449,Admin,x86_64,DESKTOP-ALPHA,"May 14, 2025 @ 04:03:06.951"
deleted,C:\Users\Project\Documents\significant.dll,"system,hidden,archive,read","size,mode",1328215,1062382,"May 22, 2025 @ 16:50:37","May 22, 2025 @ 16:56:35",36dbf41e72e21fc2d674102ed1310a588697554b006ab539982469bebeb1d912,cfef33b93ba3ec1f788802a30efbeb87,3063,User4,AMD64,LAPTOP-1234,"May 31, 2025 @ 21:57:04.124"
added,C:\Windows\Temp\guess.pdf,"system,read",mtime,740819,940744,"May 18, 2025 @ 18:05:11","May 18, 2025 @ 19:00:12",35dfc63318e3e621ab9dbacf5378498cb95c88a498d329c89b2f4f1aa7612490,6107b4660b3c65ff1303581c0b38e59c3a36bda0892d6304df7b5b4805778ea4,5573,Admin,arm64,DESKTOP-ALPHA,"Jun 01, 2025 @ 05:51:26.336"
modified,E:\Data\white.docx,"exec,archive,hidden,write","owner,mtime",252526,1,"May 07, 2025 @ 22:04:07","May 07, 2025 @ 22:41:57",36aef7ae846389f9fb9d7ef02a783c8a3ce6439fbafbc8b0ef6d00c8041faffb,62c99ab36c7970d21b2a3339b41061fdab6a08c8299c22c7b810abe53c1ad27b,8643,User1,x86,PC-GAMER,"May 04, 2025 @ 09:41:23.240"
added,C:\Users\Public\Videos\investment.txt,"write,exec,read",group,1569507,1308757,"May 11, 2025 @ 17:22:22","May 11, 2025 @ 17:32:53",183ddc108de074458b68ad14cd35e51450cbfc623221cf309af002670e75d7b3,76c45fe1150dfc976b72709ead8a6b9eff94e46ee8d8ec83c7759ef827de222f,9827,System,x86,SERVER-001,"May 23, 2025 @ 03:39:40.015"
modified,C:\Users\Project\Documents\people.bat,"archive,exec,write,system","group,owner",1296825,831587,"May 08, 2025 @ 09:38:25","May 08, 2025 @ 09:40:39",c64c6150b47bdd71c4d48ab73280d115241af316a4db24083e2791f4c7f2d2d3,2a6e1b6c35720e4df2be8b0029372295f7cf702d8278aca1122fb35263cbfe69,2568,User6,x86_64,WIN-LAPTOP,"May 04, 2025 @ 16:53:38.770"
added,C:\Users\User1\Downloads\nation.csv,"archive,write",mtime,1096610,1461066,"May 25, 2025 @ 17:53:19","May 25, 2025 @ 18:52:53",ce562bde08ba1ddc7511c8659cbbcaf0,bd0e60ed156811150934931f759dce96a761885b30f5c51cca3052b4cad55705,2927,User6,arm64,WORKSTATION-01,"May 03, 2025 @ 11:49:30.390"
modified,C:\Users\Guest\Documents\house.pptx,"exec,hidden,archive,read",group,1584173,1835178,"May 07, 2025 @ 16:24:40","May 07, 2025 @ 17:00:35",3a8495da54bf5358d786f874efa6446fd9bd0bce200fa1c4c0e3a09a7e7c1f7e,208775b275bf5a85947bb37ff8d4500a746dd3eade3def3debc5f7a3c469ee36,7336,User4,AMD64,DESKTOP-ALPHA,"May 06, 2025 @ 13:47:05.268"
modified,C:\Windows\Temp\evidence.exe,"read,hidden,write,system",mode,1777259,1689175,"May 19, 2025 @ 19:48:03","May 19, 2025 @ 19:57:17",2997f06a4eb0d9220da2576255ef6a6aaa39a2d9fba079b018ac1d1e961b0178,d4ef975f879410bf8b72387a1ae27121a2c2f541368f9c23c3191f902f022440,1267,User2,x86_64,PC-GAMER,"May 14, 2025 @ 17:26:38.380"
