@timestamp,data.win.system.eventID,agent.name,data.win.eventdata.authenticationPackageName,data.win.system.processID,data.win.system.systemTime,data.win.eventdata.logonType,data.win.eventdata.logonProcessName,data.win.eventdata.targetUserName
2025-04-20 16:00:58.597,4624,LAB3-09,Negotiate,1072,2025-04-20T11:02:14.2770369Z,5,Advapi,SYSTEM
2025-04-20 16:00:58.592,4624,LAB3-09,Negotiate,1072,2025-04-20T11:02:14.2759911Z,5,Advapi,SYSTEM
2025-04-20 16:00:53.790,4624,LAB3-10,Negotiate,1032,2025-04-20T11:02:09.4134324Z,5,Advapi,SYSTEM
2025-04-20 15:59:55.184,4625,LAB3-11,Negotiate,892,2025-04-20T11:01:10.0486195Z,2,User32,bsit22f.0013
2025-04-20 15:58:53.656,4625,LAB3-11,Negotiate,892,2025-04-20T11:00:08.4888022Z,2,User32,bsit22f.0013
2025-04-20 15:58:27.875,4624,LAB3-11,Negotiate,892,2025-04-20T10:59:43.3653413Z,5,Advapi,SYSTEM
2025-04-20 15:58:27.864,4624,LAB3-11,Negotiate,892,2025-04-20T10:59:42.7303794Z,5,Advapi,SYSTEM
2025-04-20 15:58:27.863,4624,LAB3-11,Negotiate,892,2025-04-20T10:59:42.6936653Z,5,Advapi,SYSTEM
2025-04-20 15:58:16.992,4625,LAB3-10,Negotiate,1032,2025-04-20T10:59:32.6268159Z,2,User32,bsit22f.0020
2025-04-20 15:58:13.712,4624,LAB3-09,Negotiate,1072,2025-04-20T10:59:29.3910830Z,5,Advapi,SYSTEM
2025-04-20 15:57:55.489,4625,LAB3-10,Negotiate,1032,2025-04-20T10:59:11.1287503Z,2,User32,bsit22f.0020
2025-04-20 15:57:33.727,4624,LAB3-10,Negotiate,1032,2025-04-20T10:58:49.3574064Z,5,Advapi,SYSTEM
2025-04-20 15:55:33.683,4624,LAB3-09,Negotiate,1072,2025-04-20T10:56:49.3653883Z,5,Advapi,SYSTEM
2025-04-20 15:54:53.669,4624,LAB3-10,Negotiate,1032,2025-04-20T10:56:09.3082699Z,5,Advapi,SYSTEM
2025-04-20 15:52:53.654,4624,LAB3-09,Negotiate,1072,2025-04-20T10:54:09.3400883Z,5,Advapi,SYSTEM
2025-04-20 15:52:13.647,4624,LAB3-10,Negotiate,1032,2025-04-20T10:53:29.2924887Z,5,Advapi,SYSTEM
2025-04-20 15:50:36.587,4624,CP-AKT-002912,Negotiate,880,2025-04-20T10:51:53.1128297Z,5,Advapi,SYSTEM
